Address,Lat,Lon
1055 Marmion Dr,38.8907693,-77.3482828
9305 Schubert Ct,38.945249,-77.265944
8001 Leyton Pl,38.7886325,-77.22129144
5023 Rose Hill Farm Dr,38.8907693,-77.3482828
4403 Phylliss St,38.8907693,-77.3482828
10421 Headly Ct,38.821633,-77.306888
9555 Katelyn Zinn Pl,38.789931,-77.274769
8256 The Midway,38.0276387,-78.7064082
4308 Kenwyn Ct,38.830155,-77.245526
1042 Marmion Dr,38.8907693,-77.3482828
303 Mashie Dr SE,38.908293,-77.250908
303 Windover Ave NW,36.5615409,-76.2010467
5613 Southampton Dr,38.8907693,-77.3482828
8700 Powder Horn Rd,38.8907693,-77.3482828
2031 Rockingham St,38.8907693,-77.3482828
1046 Marmion Dr,38.8907693,-77.3482828
9132 Scott St,38.8907693,-77.3482828
8611 Virginia Ave,38.2562405,-76.7677453
206 Oak St SW,38.894199,-77.26082
3868 Ganell Pl,38.86779275,-77.35268325
6207 Waterway Dr,38.8907693,-77.3482828
3623 Stanford Cir,38.8907693,-77.3482828
15802 Delaney Chase Way,32.7440238,-90.0331404
3138 Barbara Ln,38.906329,-77.39181
1500 Mintwood Dr,38.8907693,-77.3482828
903 Falls Manors Ct,38.8907693,-77.3482828
7703 Leeds Manor Ct,38.749924,-77.330912
6367 Burton Cir,38.8907693,-77.3482828
1117 Carper St,38.8907693,-77.3482828
117 Cherry Cir,38.8907693,-77.3482828
12248 Clifton Point Dr,38.8907693,-77.3482828
3004 Apple Brook Ln,38.884577,-77.322279
11865 Boscobel Ct,37.5990359,-77.7313823
8114 Ashtonbirch Dr,38.8907693,-77.3482828
1136 Challedon,34.06487,-81.1576
13309 Scotsmore Way,32.7440238,-90.0331404
2262 Compass Point Ln,38.9279,-77.335253
9613 Jomar Dr,38.8907693,-77.3482828
7718 Tiffany Ct,38.8907693,-77.3482828
217 Battle St SW,38.895611,-77.263941
6369 Lakeview Dr,38.8907693,-77.3482828
11632 Leehigh Dr,38.845385,-77.34961485
7713 Killebrew Dr,38.8907693,-77.3482828
3872 Scibilia Rd,38.890672,-77.407741
7305 Tyler Ave,38.8700185,-77.197056
1845 Ware Rd,38.8907693,-77.3482828
2106 Freda Dr,38.942138,-77.353279
5328 Poplar Valley Ct,38.84356,-77.406195
5826 Parakeet Dr,38.8907693,-77.3482828
5625 Inverchapel Rd,38.8907693,-77.3482828
9909 Burke Station Ct,38.835297,-77.289928
6535 Virginia Hills Ave,38.775222,-77.097712
1908 Bridle Ln,38.933078,-77.311321
